game_id,hours_since_game_start,entry_lift
7,1.0,-19.15384615384616
7,1.25,-21.269230769230774
7,1.5,-9.269230769230774
7,1.75,-11.192307692307693
7,2.0,-9.807692307692307
7,2.25,8.538461538461547
7,2.5,-15.980769230769226
7,2.75,23.80769230769232
7,3.0,464.6538461538462
7,3.25,1264.5384615384614
7,3.5,366.13461538461536
7,3.75,106.63461538461539
7,4.0,72.63461538461539
7,4.25,55.28846153846153
7,4.5,95.71153846153847
7,4.75,-3.5
7,5.0,1.7692307692307736
7,5.25,35.5
7,5.5,2.8076923076923066
7,5.75,4.40384615384616
7,6.0,-10.07692307692308
8,-0.5,-13.515151515151501
8,-0.25,12.727272727272734
8,0.0,-36.6969696969697
8,0.25,2.3333333333333286
8,0.5,23.60606060606061
8,0.75,-19.03030303030303
8,1.0,16.060606060606062
