game_id,date,hour,minute,late,opponent,playoff
212,2014-07-05,13,5,0,Orioles,0
213,2014-07-05,19,15,1,Orioles,0
214,2014-07-06,13,35,0,Orioles,0
215,2014-07-07,19,10,1,White Sox,0
216,2014-07-08,19,10,1,White Sox,0
217,2014-07-09,19,10,1,White Sox,0
218,2014-07-10,16,5,0,White Sox,0
219,2014-07-18,19,10,1,Royals,0
220,2014-07-19,19,10,1,Royals,0
221,2014-07-20,13,35,0,Royals,0
222,2014-07-28,19,10,1,Blue Jays,0
223,2014-07-29,19,10,1,Blue Jays,0
224,2014-07-30,19,10,1,Blue Jays,0
225,2014-08-01,19,10,1,Yankees,0
226,2014-08-02,16,5,0,Yankees,0
227,2014-08-03,20,0,1,Yankees,0
228,2014-08-14,19,10,1,Astros,0
229,2014-08-15,19,10,1,Astros,0
230,2014-08-16,19,10,1,Astros,0
231,2014-08-17,13,35,0,Astros,0
232,2014-08-18,19,10,1,Angels,0
233,2014-08-19,19,10,1,Angels,0
234,2014-08-20,19,10,1,Angels,0
235,2014-08-21,19,10,1,Angels,0
236,2014-08-22,19,10,1,Mariners,0
237,2014-08-23,13,35,0,Mariners,0
238,2014-08-24,13,35,0,Mariners,0
239,2014-09-05,19,10,1,Blue Jays,0
240,2014-09-06,19,10,1,Blue Jays,0
241,2014-09-07,13,35,0,Blue Jays,0
242,2014-09-08,19,10,1,Orioles,0
243,2014-09-09,19,10,1,Orioles,0
244,2014-09-10,13,35,0,Orioles,0
245,2014-09-23,19,10,1,Rays,0
246,2014-09-24,19,10,1,Rays,0
247,2014-09-25,19,10,1,Rays,0
248,2014-09-26,19,10,1,Yankees,0
249,2014-09-27,13,5,0,Yankees,0
250,2014-09-28,13,35,0,Yankees,0
