game_id,hours_until_game_start,lift_entries_blue,lift_entries_green,lift_entries_orange,lift_entries_red
2,5.25,5.287362865257638,-311.74155714839924,-247.32718349928876,-342.5240682788051
2,5.5,-90.70712003869899,-353.3638859433596,-10.395881934566233,-468.5214153627312
2,5.75,-91.16768816663551,-290.343659168396,-161.63827169274543,-379.97812233285913
2,6.0,-36.26584651637283,-322.53872603293655,-84.19359886201993,-202.7735419630157
3,-0.5,-17.182390109890115,115.36984917043743,16.53190045248867,-80.4849358974358
3,-0.25,-11.452116846738686,9.631504524886896,-73.05360859728506,-140.41778280542977
3,0.0,5.2243821062852245,38.28876696832582,13.274600301659145,-85.28715309200608
3,0.25,-21.63862091808904,141.50634615384624,86.44594645550518,16.176217948718033
3,0.5,40.12188431723314,238.92128205128202,169.73809954751133,3.338190045248769
3,0.75,39.204608204641445,153.85525641025643,223.87352187028654,119.002496229261
3,1.0,1.1649016100178855,316.80032051282046,155.2328846153846,166.52319381598818
3,1.25,0.9918641481637245,325.74782051282057,279.2133823529411,227.1901319758679
3,1.5,-23.72507488863163,233.37794871794893,282.80547134238293,315.89076923076925
3,1.75,-32.832839278824245,116.53717948717963,306.6165987933633,247.4787292609352
3,2.0,-58.002289803220016,283.85980769230764,138.31492458521896,154.52726621417793
3,2.25,-1.8005020469727313,296.2580128205128,161.52513197586742,274.1134502262439
3,2.5,3.677252797362108,171.49532051282037,137.2576998491703,323.48057692307714
3,2.75,-64.02308769661713,165.44384615384615,153.10381598793367,250.00021870286577
3,3.0,15.90834753937365,69.48044871794892,157.23053167420812,167.49211538461518
3,3.25,-8.1402025425555,-1.715769230769169,-0.23388386123663452,-102.39269230769241
3,3.5,-35.22226016345719,32.51032051282054,-63.189457013574525,-74.13257541478137
3,3.75,41.16806780314995,88.09762820512834,-107.12423076923088,-164.11218325791847
3,4.0,52.610751517064756,23.015512820512814,-1.9899886877828763,-32.738499245852196
3,4.25,-21.462875933915633,-91.77891025641027,51.32302790346909,-145.99175339366525
3,4.5,-32.49942649689572,8.392756410256506,-170.24155731523385,-222.1995889894419
3,4.75,-1.689526289943494,74.66858974358968,89.06646304675712,-56.070384615384576
